cell type,mean,sd,cell line
wt,2.303447850038553,0.18199888978435144,293
mP,1.6375049521016887,0.19284633633129167,293
pP,1.4528315268331051,0.24953998055122625,293
cP,1.9759997322693552,0.08498631375623543,293
erP,1.7584355397663292,0.3433905648933388,293
wt,2.0366666666666666,0.015275252316519385,HeLa
wt + 3AB,2.353333333333333,0.08326663997864539,HeLa
mP,1.6600000000000001,0.1039230484541326,HeLa
mP + 3AB,2.12,0.07549834435270768,HeLa
pP,1.13,0.10440306508910546,HeLa
pP + 3AB,2.07,0.37040518354904284,HeLa
cP,1.9566666666666663,0.06658328118479387,HeLa
cP + 3AB,2.3533333333333335,0.30005555041247517,HeLa
erP,1.5633333333333332,0.04725815626252612,HeLa
erP + 3AB,2.0633333333333335,0.19399312702601948,HeLa
wt,2.8800000000000003,0.49759421218498917,U2OS
wt + 3AB,3.1933333333333334,0.5564470624716547,U2OS
mP,2.393333333333333,0.4389001405027496,U2OS
mP + 3AB,3.126666666666667,0.30746273486933884,U2OS
pP,1.9466666666666665,0.42158431343366337,U2OS
pP + 3AB,3.2933333333333334,1.0373684655576016,U2OS
cP,2.35,0.564003546088143,U2OS
cP + 3AB,2.82,0.8845903006477066,U2OS
erP,2.3499999999999996,0.5377731863899501,U2OS
erP + 3AB,2.8633333333333333,0.784495591659592,U2OS
